Id,Codigo,Nome,UF
1,1508,Adamantina,SP
2,1510,Adolfo,SP
3,1521,Aguaí,SP
4,1545,Águas da Prata,SP
5,1533,Águas de Lindóia,SP
6,6075,Águas de Santa Bárbara,SP
7,1557,Águas de São Pedro,SP
8,1569,Agudos,SP
9,7328,Alambari,SP
10,1570,Alfredo Marcondes,SP
11,1582,Altair,SP
12,1594,Altinópolis,SP
13,1600,Alto Alegre,SP
14,7330,Alumínio,SP
15,1612,Alvares Florence,SP
16,1624,Alvares Machado,SP
17,1636,Álvaro de Carvalho,SP
18,1648,Alvinlândia,SP
19,1650,Americana,SP
20,1661,Américo Brasiliense,SP
21,1673,Américo de Campos,SP
22,1685,Amparo,SP
23,1697,Analândia,SP
24,1703,Andradina,SP
25,1715,Angatuba,SP
26,1727,Anhembi,SP
27,1739,Anhumas,SP
28,1740,Aparecida,SP
29,1752,Aparecida D'Oeste,SP
30,1764,Apiaí,SP
31,7341,Araçariguama,SP
32,1776,Araçatuba,SP
33,1788,Araçoiaba da Serra,SP
34,1790,Aramina,SP
35,1806,Arandu,SP
36,7353,Arapei,SP
37,1818,Araraquara,SP
38,1820,Araras,SP
39,7754,Arco-Íris,SP
40,1831,Arealva,SP
41,1843,Areias,SP
42,1855,Areiópolis,SP
43,1867,Ariranha,SP
44,1879,Artur Nogueira,SP
45,1880,Arujá,SP
46,7365,Aspásia,SP
47,1892,Assis,SP
48,1909,Atibaia,SP
49,1910,Auriflama,SP
50,1922,Avaí,SP
51,1934,Avanhandava,SP
52,1946,Avaré,SP
53,1958,Bady Bassit,SP
54,1960,Balbinos,SP
55,1971,Bálsamo,SP
56,1983,Bananal,SP
57,1995,Barão de Antonina,SP
58,2008,Barbosa,SP
59,2010,Bariri,SP
60,2021,Barra Bonita,SP
61,7377,Barra do Chapéu,SP
62,2033,Barra do Turvo,SP
63,2045,Barretos,SP
64,2057,Barrinha,SP
65,2069,Barueri,SP
66,2070,Bastos,SP
67,2082,Batatais,SP
68,2094,Bauru,SP
69,2100,Bebedouro,SP
70,2112,Bento de Abreu,SP
71,2124,Bernardino de Campos,SP
72,7389,Bertioga,SP
73,2136,Bilac,SP
74,2148,Birigui,SP
75,2150,Biritiba-Mirim,SP
76,2161,Boa Esperança do Sul,SP
77,2173,Bocaina,SP
78,2185,Bofete,SP
79,2197,Boituva,SP
80,2203,Bom Jesus dos Perdões,SP
81,7390,Bom Sucesso de Itararé,SP
82,2215,Borá,SP
83,2227,Boracéia,SP
84,2239,Borborema,SP
85,7213,Borebi,SP
86,2240,Botucatu,SP
87,2252,Bragança Paulista,SP
88,2264,Braúna,SP
89,7766,Brejo Alegre,SP
90,2276,Brodówski,SP
91,2288,Brotas,SP
92,2290,Buri,SP
93,2306,Buritama,SP
94,2318,Buritizal,SP
95,2320,Cabrália Paulista,SP
96,2331,Cabreúva,SP
97,2343,Caçapava,SP
98,2355,Cachoeira Paulista,SP
99,2367,Caconde,SP
100,2379,Cafelândia,SP
101,2380,Caiabu,SP
102,2392,Caieiras,SP
103,2409,Caiuá,SP
104,2410,Cajamar,SP
105,7407,Cajati,SP
106,2422,Cajobi,SP
107,2434,Cajuru,SP
109,7419,Campina do Monte Alegre,SP
110,2446,Campinas,SP
111,2458,Campo Limpo Paulista,SP
112,2460,Campos do Jordão,SP
113,2471,Campos Novos Paulista,SP
114,2483,Cananéia,SP
115,7778,Canas,SP
116,2495,Cândido Mota,SP
117,2501,Cândido Rodrigues,SP
118,7420,Canitar,SP
119,2513,Capão Bonito,SP
120,2525,Capela do Alto,SP
121,2537,Capivari,SP
122,2549,Caraguatatuba,SP
123,2550,Carapicuíba,SP
124,2562,Cardoso,SP
125,2574,Casa Branca,SP
126,2586,Cássia dos Coqueiros,SP
127,2598,Castilho,SP
128,2604,Catandúva,SP
129,2616,Catiguá,SP
130,2628,Cedral,SP
131,2630,Cerqueira César,SP
132,2653,Cerquilho,SP
133,2641,Cesário Lange,SP
134,2665,Charqueada,SP
135,7195,Chavantes,SP
136,2677,Clementina,SP
137,2689,Colina,SP
138,2690,Colômbia,SP
139,2707,Conchal,SP
140,2719,Conchas,SP
141,2720,Cordeirópolis,SP
142,2732,Coroados,SP
143,2744,Coronel Macedo,SP
144,2756,Corumbataí,SP
145,2768,Cosmópolis,SP
146,2770,Cosmorama,SP
147,2781,Cotia,SP
148,2793,Cravinhos,SP
149,2800,Cristais Paulista,SP
150,2811,Cruzália,SP
151,2823,Cruzeiro,SP
152,2835,Cubatão,SP
153,2847,Cunha,SP
154,2859,Descalvado,SP
155,2860,Diadema,SP
156,7225,Dirce-Reis,SP
157,2872,Divinolândia,SP
158,2884,Dobrada,SP
159,2896,Dois Córregos,SP
160,2902,Dolcinópolis,SP
161,2914,Dourado,SP
162,2926,Dracena,SP
