Id,CodigoMunicipio,Ano,Mes,Periodo,DataCredito,ICMS,FundExp,Comp,IPVA,Total
2,1508,2020,Janeiro,Resíduo do Ano Anterior,07/01/2020,60279.74,3132.34,0.00,0.00,63412.08
3,1508,2020,Janeiro,02/01/2020 a 03/01/2020,07/01/2020,16797.54,0.00,0.00,0.00,16797.54
4,1508,2020,Janeiro,06/01/2020 a 10/01/2020,14/01/2020,387557.72,5020.40,0.00,0.00,392578.12
5,1508,2020,Janeiro,13/01/2020 a 17/01/2020,21/01/2020,275370.13,0.00,0.00,0.00,275370.13
6,1508,2020,Janeiro,20/01/2020 a 24/01/2020,28/01/2020,628897.92,2602.45,3737.31,0.00,635237.68
7,1508,2020,Fevereiro,27/01/2020 a 31/01/2020,04/02/2020,223195.41,1445.77,0.78,0.00,224641.96
8,1508,2020,Fevereiro,03/02/2020 a 07/02/2020,11/02/2020,315462.30,0.00,0.00,0.00,315462.30
9,1508,2020,Fevereiro,10/02/2020 a 14/02/2020,18/02/2020,175170.00,5483.88,0.00,0.00,180653.87
10,1508,2020,Fevereiro,17/02/2020 a 21/02/2020,27/02/2020,688415.58,2037.83,4535.30,0.00,694988.70
11,1508,2020,Março,26/02/2020 a 28/02/2020,03/03/2020,218193.26,2288.22,0.00,0.00,220481.49
12,1508,2020,Março,02/03/2020 a 06/03/2020,10/03/2020,345524.69,0.00,0.00,0.00,345524.69
13,1508,2020,Março,09/03/2020 a 13/03/2020,17/03/2020,200424.97,4895.91,0.00,0.00,205320.88
14,1508,2020,Março,16/03/2020 a 20/03/2020,24/03/2020,273902.57,2541.05,4887.42,0.00,281331.04
15,1508,2020,Março,23/03/2020 a 27/03/2020,31/03/2020,578248.73,0.00,0.00,0.00,578248.73
16,1508,2020,Abril,30/03/2020 a 03/04/2020,07/04/2020,100167.60,1616.17,0.00,0.00,101783.77
17,1508,2020,Abril,06/04/2020 a 10/04/2020,14/04/2020,252416.33,5082.57,0.00,0.00,257498.89
18,1508,2020,Abril,13/04/2020 a 17/04/2020,22/04/2020,292202.12,0.00,4243.15,0.00,296445.26
19,1508,2020,Abril,20/04/2020 a 24/04/2020,28/04/2020,447037.15,2171.28,0.00,0.00,449208.42
20,1508,2020,Maio,27/04/2020 a 01/05/2020,05/05/2020,167688.43,870.60,0.00,0.00,168559.02
21,1508,2020,Maio,04/05/2020 a 08/05/2020,12/05/2020,294476.48,5300.46,0.00,0.00,299776.94
22,1508,2020,Maio,11/05/2020 a 15/05/2020,19/05/2020,148204.23,0.00,2836.63,0.00,151040.85
23,1508,2020,Maio,18/05/2020 a 22/05/2020,26/05/2020,462862.41,1265.49,0.00,0.00,464127.90
24,1508,2020,Junho,25/05/2020 a 29/05/2020,02/06/2020,165132.08,1534.63,0.00,0.00,166666.71
25,1508,2020,Junho,01/06/2020 a 05/06/2020,09/06/2020,271300.43,0.00,0.00,0.00,271300.43
26,1508,2020,Junho,08/06/2020 a 12/06/2020,16/06/2020,139171.41,4086.21,0.00,0.00,143257.61
27,1508,2020,Junho,15/06/2020 a 19/06/2020,23/06/2020,232670.44,2144.60,1659.23,0.00,236474.26
28,1508,2020,Junho,22/06/2020 a 26/06/2020,30/06/2020,501083.35,0.00,0.00,0.00,501083.35
29,1508,2020,Julho,29/06/2020 a 03/07/2020,07/07/2020,108632.52,1053.98,0.00,0.00,109686.50
30,1508,2020,Julho,06/07/2020 a 10/07/2020,14/07/2020,269194.78,4911.78,0.00,0.00,274106.56
31,1508,2020,Julho,13/07/2020 a 17/07/2020,21/07/2020,247505.12,0.00,2997.53,0.00,250502.66
32,1508,2020,Julho,20/07/2020 a 24/07/2020,28/07/2020,535361.70,2556.58,0.00,0.00,537918.28
33,1508,2020,Agosto,27/07/2020 a 31/07/2020,04/08/2020,229233.56,1282.70,0.00,0.00,230516.26
34,1508,2020,Agosto,03/08/2020 a 07/08/2020,11/08/2020,276328.34,0.00,0.00,0.00,276328.34
35,1508,2020,Agosto,10/08/2020 a 14/08/2020,18/08/2020,183027.82,5839.58,2421.39,0.00,191288.78
36,1508,2020,Agosto,17/08/2020 a 21/08/2020,25/08/2020,703218.75,2123.78,3750.52,0.00,709093.05
37,1508,2020,Setembro,24/08/2020 a 28/08/2020,01/09/2020,266878.87,2157.38,0.00,0.00,269036.25
38,1508,2020,Setembro,31/08/2020 a 04/09/2020,09/09/2020,307476.03,0.00,0.00,0.00,307476.03
39,1508,2020,Setembro,08/09/2020 a 11/09/2020,15/09/2020,161519.80,7559.76,0.00,0.00,169079.55
40,1508,2020,Setembro,14/09/2020 a 18/09/2020,22/09/2020,258415.36,2746.74,4265.87,0.00,265427.97
41,1508,2020,Setembro,21/09/2020 a 25/09/2020,29/09/2020,632136.11,0.00,0.00,0.00,632136.11
42,1508,2020,Outubro,28/09/2020 a 02/10/2020,06/10/2020,296500.44,1581.53,0.00,0.00,298081.97
43,1508,2020,Outubro,05/10/2020 a 09/10/2020,14/10/2020,292572.42,8983.76,125.28,0.00,301681.46
44,1508,2020,Outubro,13/10/2020 a 16/10/2020,20/10/2020,298685.19,0.00,0.00,0.00,298685.19
45,1508,2020,Outubro,19/10/2020 a 23/10/2020,27/10/2020,686562.71,3156.05,4778.46,0.00,694497.22
46,1508,2020,Novembro,26/10/2020 a 30/10/2020,04/11/2020,288479.85,1465.56,138.16,0.00,290083.56
47,1508,2020,Novembro,03/11/2020 a 06/11/2020,10/11/2020,324946.77,0.00,0.00,0.00,324946.77
48,1508,2020,Novembro,09/11/2020 a 13/11/2020,17/11/2020,226995.94,8833.65,0.00,0.00,235829.59
49,1508,2020,Novembro,16/11/2020 a 20/11/2020,24/11/2020,613554.24,2985.91,2777.73,0.00,619317.88
50,1508,2020,Dezembro,23/11/2020 a 27/11/2020,01/12/2020,547394.55,0.00,0.00,0.00,547394.55
51,1508,2020,Dezembro,30/11/2020 a 04/12/2020,08/12/2020,330295.31,3094.27,69.86,0.00,333459.43
52,1508,2020,Dezembro,07/12/2020 a 11/12/2020,15/12/2020,221318.37,10160.16,0.00,0.00,231478.53
53,1508,2020,Dezembro,14/12/2020 a 18/12/2020,22/12/2020,284607.23,3486.35,3396.62,0.00,291490.20
54,1508,2020,Dezembro,21/12/2020 a 25/12/2020,29/12/2020,702915.60,0.00,89.58,0.00,703005.18
55,1508,2021,Janeiro,Resíduo do Ano Anterior,05/01/2021,251085.93,2038.97,0.00,0.00,253124.90
56,1508,2021,Janeiro,04/01/2021 a 08/01/2021,12/01/2021,290461.55,9096.42,0.00,0.00,299557.97
57,1508,2021,Janeiro,11/01/2021 a 15/01/2021,19/01/2021,195438.72,0.00,0.00,0.00,195438.72
58,1508,2021,Janeiro,18/01/2021 a 22/01/2021,26/01/2021,833689.78,2941.02,3797.27,0.00,840428.07
59,1508,2021,Fevereiro,25/01/2021 a 29/01/2021,02/02/2021,262802.64,1651.95,107.06,0.00,264561.64
60,1508,2021,Fevereiro,01/02/2021 a 05/02/2021,09/02/2021,338241.60,0.00,0.00,0.00,338241.60
61,1508,2021,Fevereiro,08/02/2021 a 12/02/2021,17/02/2021,199007.91,7448.68,0.00,0.00,206456.60
62,1508,2021,Fevereiro,17/02/2021 a 19/02/2021,23/02/2021,222320.86,2498.45,4318.98,0.00,229138.29
63,1508,2021,Março,22/02/2021 a 26/02/2021,02/03/2021,777353.90,1250.81,0.00,0.00,778604.71
64,1508,2021,Março,01/03/2021 a 05/03/2021,09/03/2021,318548.81,0.00,121.41,0.00,318670.22
65,1508,2021,Março,08/03/2021 a 12/03/2021,16/03/2021,191377.41,7405.51,0.00,0.00,198782.92
66,1508,2021,Março,15/03/2021 a 19/03/2021,19/03/2021,292815.86,3603.17,5530.88,0.00,301949.91
